library,os_type,library_type,crypto_dependency,algorithm,primitive,key_size,detection_method
/usr/lib/x86_64-linux-gnu/enchant-2/enchant_aspell.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/enchant-2/enchant_hspell.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/enchant-2/enchant_hunspell.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/engines-3/afalg.so,unix,shared,libcrypto,SSL,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/engines-3/loader_attic.so,unix,shared,libcrypto,RSA,public-key,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/engines-3/loader_attic.so,unix,shared,libcrypto,SSL,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/engines-3/padlock.so,unix,shared,libcrypto,SSL,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/eog/libeog.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/eog/plugins/libfullscreen.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/eog/plugins/libreload.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/eog/plugins/libstatusbar-date.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libcomicsdocument.so,unix,shared,"libgcrypt,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libdjvudocument.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libdvidocument.so,unix,shared,"libgcrypt,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libpdfdocument.so,unix,shared,"libcrypto,libgcrypt,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libpsdocument.so,unix,shared,"libgcrypt,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libtiffdocument.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/evince/4/backends/libxpsdocument.so,unix,shared,"libgcrypt,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfu_plugin_flashrom.so,unix,shared,"libcrypto,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfu_plugin_modem_manager.so,unix,shared,"libcrypto,nettle",MD5,hash,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",AES,block-cipher,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",SHA-1,hash,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",SHA-256,hash,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",MD5,hash,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",RSA,public-key,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdengine.so,unix,shared,"libcrypto,libgcrypt,nettle",TLS,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdplugin.so,unix,shared,"libcrypto,nettle",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/fwupd-1.9.33/libfwupdutil.so,unix,shared,"libcrypto,nettle",TLS,protocol,unknown,dependency + strings
/usr/lib/x86_64-linux-gnu/gbm/dri_gbm.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/ANSI_X3.110.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/ARMSCII-8.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/ASMO_449.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/BIG5.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/BIG5HKSCS.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/BRF.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP10007.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/CP1125.so,unix,shared,none,unknown,unknown,unknown,static-string
